Index,CO,NO2,O3,SO2,PM2.5
0,5.7,76.0,2.0,5.0,380.0
1,5.2,69.0,2.0,5.0,329.0
2,4.2,60.0,2.0,4.0,276.0
3,0.3,43.0,2.0,5.0,207.0
4,1.6,22.0,2.0,22.0,143.0
5,1.3,18.0,2.0,7.0,108.0
6,0.9,23.0,2.0,6.0,97.0
7,0.9,27.0,5.0,5.0,88.0
8,0.9,18.0,22.0,6.0,47.0
9,0.8,16.0,27.0,6.0,43.0
10,0.6,13.0,31.0,5.0,34.0
11,0.6,12.0,37.0,6.0,28.0
12,0.5,10.0,46.0,6.0,19.0
13,0.4,8.0,56.0,5.0,17.0
14,0.3,5.0,69.0,3.0,11.0
15,0.3,3.0,79.0,2.0,17.0
16,0.3,3.0,81.0,2.0,9.0
17,0.2,3.0,82.0,2.0,5.0
18,0.2,3.0,82.0,2.0,6.0
19,0.2,3.0,82.0,2.0,4.0
20,0.5,15.0,63.0,5.0,25.0
21,1.8,48.0,29.0,13.0,97.0
22,3.3,73.0,14.0,19.0,220.0
23,3.5,70.0,11.0,15.0,216.0
24,3.6,67.0,8.0,11.0,215.0
25,3.7,66.0,5.0,8.0,227.0
26,3.3,60.0,2.0,5.0,196.0
27,0.3,53.0,2.0,4.0,166.0
28,0.3,48.0,4.0,3.0,164.0
29,2.6,42.0,10.0,4.0,149.0
30,2.7,41.0,5.0,3.0,141.0
31,2.6,35.0,5.0,2.0,128.0
32,2.5,34.0,4.0,2.0,123.0
33,2.1,34.0,5.0,2.0,105.0
34,1.6,29.0,10.0,3.0,93.0
35,1.5,22.0,19.0,5.0,87.0
36,1.3,20.0,30.0,7.0,66.0
37,1.3,19.0,38.0,8.0,74.0
38,1.3,18.0,50.0,8.0,83.0
39,1.2,17.0,62.0,8.0,73.0
40,1.1,16.0,72.0,8.0,67.0
41,0.9,14.0,74.0,7.0,57.0
42,0.9,14.0,77.0,6.0,57.0
43,0.9,16.0,75.0,7.0,57.0
44,0.9,16.0,66.0,7.0,56.0
